date,latitude,longitude,country_name,admin_division_name,risk_class
2017-06-17,25.67836832,91.9234343,india,Meghalaya,High
2010-04-20,34.38667467,76.34149163999999,india,Jammu and Kashmir,Low
2010-04-20,26.1965,91.763,india,Assam,High
2015-08-28,23.4495,92.81120000000001,india,Mizoram,High
2010-08-06,34.1416,77.4871,india,Jammu and Kashmir,Low
2015-07-11,32.9262,75.1447,india,Jammu and Kashmir,Low
2010-06-16,27.0765,88.4808,india,West Bengal,High
2014-07-30,19.16260832,73.68550038,india,Maharashtra,Medium
2010-09-19,30.7198,77.1695,india,Himachal Pradesh,High
2013-10-06,26.1309,91.8383,india,Assam,High
2015-03-15,33.7732,74.1011,india,Jammu and Kashmir,High
2013-07-07,31.5596,77.1679,india,Himachal Pradesh,High
2015-06-27,27.0076,88.251,india,West Bengal,Low
2017-04-06,30.61461423,78.3157525,india,Uttaranchal,High
2016-08-02,19.3421,73.7735,india,Maharashtra,Medium
2010-11-16,10.3184,77.52769999999998,india,Tamil Nadu,Low
2007-08-09,12.8733,74.8481,india,Karnataka,Medium
2010-09-13,23.741826340000003,92.7141905,india,Mizoram,Medium
2011-02-13,33.1804,75.8101,india,Jammu and Kashmir,Medium
2010-09-19,30.9035,77.0965,india,Himachal Pradesh,Medium
2012-08-17,9.8232,77.1498,india,Kerala,Low
2012-06-13,25.0951,92.3567,india,Meghalaya,Low
2015-09-05,25.4551,84.5322,india,Bihar,Medium
2011-08-09,24.5958,72.71689999999998,india,Rajasthan,Medium
2010-09-20,31.944,77.1179,india,Himachal Pradesh,Low
2018-11-03,33.25426998,75.20536698999999,india,Jammu and Kashmir,Low
2017-03-22,31.77315744,77.30471356999999,india,Himachal Pradesh,Low
2014-08-15,30.1176,78.7472,india,Uttaranchal,High
2017-07-09,25.632035700000003,94.10065403,india,Nagaland,High
2015-04-16,31.49911602,78.22419099000001,india,Himachal Pradesh,High
2017-06-21,21.556137,85.70071224999998,india,Orissa,Medium
2018-08-08,10.57211238,76.38600783999999,india,Kerala,High
2011-06-17,26.84850975,88.26181744999998,india,West Bengal,Medium
2015-03-21,33.1754,75.8103,india,Jammu and Kashmir,Medium
2018-09-25,33.13498724,75.54505215999998,india,Jammu and Kashmir,High
2018-10-03,10.26805833,76.34859138,india,Kerala,Medium
2011-08-28,19.1355,72.99809999999998,india,Maharashtra,High
2017-01-26,33.36011691,75.17291043999998,india,Jammu and Kashmir,High
2016-07-11,26.1699,94.4922,india,Nagaland,Low
2011-07-09,30.7331,79.0685,india,Uttaranchal,High
2015-09-01,26.1868,91.6739,india,Assam,Low
2013-06-16,31.5986,78.4384,india,Himachal Pradesh,High
